"id_medicamento";"termo_original";"termo_corrigido";"substancia_ativa";"nome_comercial";"alto_custo";"obtido_judicializacao"
1;abatacept;abatacepte;Abatacepte;Orencia;true;
2;abiraterona;abiraterona;Acetato de Abiraterona;Zytiga;true;
3;acalabrutinib;acalabrutinibe;Acalabrutinibe;Calquence;true;
4;acarbose;acarbose;Acarbose;Glucobay;false;
5;acetilcisteina;acetilcisteína;Acetilcisteína;Fluimucil;false;
6;acetilsalicilico;ácido acetilsalicílico;Ácido Acetilsalicílico;Aspirina;false;
7;aciclovir;aciclovir;Aciclovir;Zovirax;false;
10;adapaleno;adapaleno;Adapaleno;Differin;false;
11;agomelatina;agomelatina;Agomelatina;Valdoxan;false;
12;alendronato;alendronato;Alendronato;Fosamax;false;
13;alemtuzumabe;alemtuzumabe;Alemtuzumabe;Lemtrada;true;
14;alopurinol;alopurinol;Alopurinol;Zyloric;false;
15;alprazolam;alprazolam;Alprazolam;Frontal;false;
16;amlodipino;amlodipino;Amlodipino;Norvasc;false;
17;anlodipino;amlodipino;Amlodipino;Norvasc;false;
18;amoxicilina;amoxicilina;Amoxicilina;Amoxil;false;
19;aripiprazol;aripiprazol;Aripiprazol;Abilify;false;
20;atorvastatina;atorvastatina;Atorvastatina;Lipitor;false;
21;atropina;atropina;Atropina;;false;
22;azelastina;azelastina;Azelastina;Allergodil;false;
23;bacopa monnieri;bacopa monnieri;Bacopa Monnieri;;false;
25;bimatoprosta;bimatoprosta;Bimatoprosta;Lumigan;false;
26;bisoprolol;bisoprolol;Bisoprolol;Concor;false;
27;bortezomibe;bortezomibe;Bortezomibe;Velcade;true;
28;bosentana;bosentana;Bosentana;Tracleer;true;
29;bromazepam;bromazepam;Bromazepam;Lexotan;false;
30;budesonida;budesonida;Budesonida;Pulmicort;false;
31;bupropiona;bupropiona;Bupropiona;Wellbutrin;false;
32;buspirona;buspirona;Buspirona;Buspar;false;
33;cabergolina;cabergolina;Cabergolina;Dostinex;false;
34;cabozantinibe;cabozantinibe;Cabozantinibe;Cabometyx;true;
35;canabidiol;canabidiol;Canabidiol;;true;
36;candesartana;candesartana;Candesartana;Atacand;false;
37;captopril;captopril;Captopril;Capoten;false;
38;carbamazepina;carbamazepina;Carbamazepina;Tegretol;false;
39;carvedilol;carvedilol;Carvedilol;Coreg;false;
40;celecoxibe;celecoxibe;Celecoxibe;Celebra;false;
41;cetoconazol;cetoconazol;Cetoconazol;Nizoral;false;
43;cianocobalamina;cianocobalamina;Cianocobalamina;;false;
44;ciclobenzaprina;ciclobenzaprina;Ciclobenzaprina;Miosan;false;
45;ciclofosfamida;ciclofosfamida;Ciclofosfamida;Genuxal;true;
46;ciclosporina;ciclosporina;Ciclosporina;Sandimmun;true;
47;cilostazol;cilostazol;Cilostazol;Pletal;false;
48;ciprofloxacino;ciprofloxacino;Ciprofloxacino;Cipro;false;
49;clobazam;clobazam;Clobazam;Frisium;false;
50;clobetasol;clobetasol;Clobetasol;;false;
51;clomipramina;clomipramina;Clomipramina;Anafranil;false;
52;clonazepam;clonazepam;Clonazepam;Rivotril;false;
53;clonidina;clonidina;Clonidina;Atensina;false;
54;cloroquina;cloroquina;Cloroquina;;false;
55;clortalidona;clortalidona;Clortalidona;Hygroton;false;
56;clotrimazol;clotrimazol;Clotrimazol;Canesten;false;
57;clozapina;clozapina;Clozapina;Leponex;false;
58;codeina;codeína;Codeína;;false;
59;colchicina;colchicina;Colchicina;;false;
