codigo_municipio,uf,nome_municipio,municipio_uf,,,,,,,,,,,,,,
1100015,Rondônia,Alta Floresta D'Oeste,Alta Floresta D'Oeste - Rondônia,,,,,,,,,,,,,,
1100379,Rondônia,Alto Alegre dos Parecis,Alto Alegre dos Parecis - Rondônia,,,,,,,,,,,,,,
1100403,Rondônia,Alto Paraíso,Alto Paraíso - Rondônia,,,,,,,,,,,,,,
1100346,Rondônia,Alvorada D'Oeste,Alvorada D'Oeste - Rondônia,,,,,,,,,,,,,,
1100023,Rondônia,Ariquemes,Ariquemes - Rondônia,,,,,,,,,,,,,,
1100452,Rondônia,Buritis,Buritis - Rondônia,,,,,,,,,,,,,,
1100031,Rondônia,Cabixi,Cabixi - Rondônia,,,,,,,,,,,,,,
1100601,Rondônia,Cacaulândia,Cacaulândia - Rondônia,,,,,,,,,,,,,,
1100049,Rondônia,Cacoal,Cacoal - Rondônia,,,,,,,,,,,,,,
1100700,Rondônia,Campo Novo de Rondônia,Campo Novo de Rondônia - Rondônia,,,,,,,,,,,,,,
1100809,Rondônia,Candeias do Jamari,Candeias do Jamari - Rondônia,,,,,,,,,,,,,,
1100908,Rondônia,Castanheiras,Castanheiras - Rondônia,,,,,,,,,,,,,,
1100056,Rondônia,Cerejeiras,Cerejeiras - Rondônia,,,,,,,,,,,,,,
1100924,Rondônia,Chupinguaia,Chupinguaia - Rondônia,,,,,,,,,,,,,,
1100064,Rondônia,Colorado do Oeste,Colorado do Oeste - Rondônia,,,,,,,,,,,,,,
1100072,Rondônia,Corumbiara,Corumbiara - Rondônia,,,,,,,,,,,,,,
1100080,Rondônia,Costa Marques,Costa Marques - Rondônia,,,,,,,,,,,,,,
1100940,Rondônia,Cujubim,Cujubim - Rondônia,,,,,,,,,,,,,,
1100098,Rondônia,Espigão D'Oeste,Espigão D'Oeste - Rondônia,,,,,,,,,,,,,,
1101005,Rondônia,Governador Jorge Teixeira,Governador Jorge Teixeira - Rondônia,,,,,,,,,,,,,,
1100106,Rondônia,Guajará-Mirim,Guajará-Mirim - Rondônia,,,,,,,,,,,,,,
1101104,Rondônia,Itapuã do Oeste,Itapuã do Oeste - Rondônia,,,,,,,,,,,,,,
1100114,Rondônia,Jaru,Jaru - Rondônia,,,,,,,,,,,,,,
1100122,Rondônia,Ji-Paraná,Ji-Paraná - Rondônia,,,,,,,,,,,,,,
1100130,Rondônia,Machadinho D'Oeste,Machadinho D'Oeste - Rondônia,,,,,,,,,,,,,,
1101203,Rondônia,Ministro Andreazza,Ministro Andreazza - Rondônia,,,,,,,,,,,,,,
1101302,Rondônia,Mirante da Serra,Mirante da Serra - Rondônia,,,,,,,,,,,,,,
1101401,Rondônia,Monte Negro,Monte Negro - Rondônia,,,,,,,,,,,,,,
1100148,Rondônia,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste - Rondônia,,,,,,,,,,,,,,
1100338,Rondônia,Nova Mamoré,Nova Mamoré - Rondônia,,,,,,,,,,,,,,
1101435,Rondônia,Nova União,Nova União - Rondônia,,,,,,,,,,,,,,
1100502,Rondônia,Novo Horizonte do Oeste,Novo Horizonte do Oeste - Rondônia,,,,,,,,,,,,,,
1100155,Rondônia,Ouro Preto do Oeste,Ouro Preto do Oeste - Rondônia,,,,,,,,,,,,,,
1101450,Rondônia,Parecis,Parecis - Rondônia,,,,,,,,,,,,,,
1100189,Rondônia,Pimenta Bueno,Pimenta Bueno - Rondônia,,,,,,,,,,,,,,
1101468,Rondônia,Pimenteiras do Oeste,Pimenteiras do Oeste - Rondônia,,,,,,,,,,,,,,
1100205,Rondônia,Porto Velho,Porto Velho - Rondônia,,,,,,,,,,,,,,
1100254,Rondônia,Presidente Médici,Presidente Médici - Rondônia,,,,,,,,,,,,,,
1101476,Rondônia,Primavera de Rondônia,Primavera de Rondônia - Rondônia,,,,,,,,,,,,,,
1100262,Rondônia,Rio Crespo,Rio Crespo - Rondônia,,,,,,,,,,,,,,
1100288,Rondônia,Rolim de Moura,Rolim de Moura - Rondônia,,,,,,,,,,,,,,
1100296,Rondônia,Santa Luzia D'Oeste,Santa Luzia D'Oeste - Rondônia,,,,,,,,,,,,,,
1101484,Rondônia,São Felipe D'Oeste,São Felipe D'Oeste - Rondônia,,,,,,,,,,,,,,
1101492,Rondônia,São Francisco do Guaporé,São Francisco do Guaporé - Rondônia,,,,,,,,,,,,,,
1100320,Rondônia,São Miguel do Guaporé,São Miguel do Guaporé - Rondônia,,,,,,,,,,,,,,
1101500,Rondônia,Seringueiras,Seringueiras - Rondônia,,,,,,,,,,,,,,
1101559,Rondônia,Teixeirópolis,Teixeirópolis - Rondônia,,,,,,,,,,,,,,
1101609,Rondônia,Theobroma,Theobroma - Rondônia,,,,,,,,,,,,,,
1101708,Rondônia,Urupá,Urupá - Rondônia,,,,,,,,,,,,,,
1101757,Rondônia,Vale do Anari,Vale do Anari - Rondônia,,,,,,,,,,,,,,
1101807,Rondônia,Vale do Paraíso,Vale do Paraíso - Rondônia,,,,,,,,,,,,,,
1100304,Rondônia,Vilhena,Vilhena - Rondônia,,,,,,,,,,,,,,
1200013,Acre,Acrelândia,Acrelândia - Acre,,,,,,,,,,,,,,
